Time,AIBL,AIBR,ALML,ALMR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,AVM,DA01,DA02,DA03,DA04,DA05,DA06,DA07,DA08,DA09,DB01,DB02,DB03,DB04,DB05,DB06,DB07,PVCL,PVCR,RIML,RIMR,RIVL,RIVR,SMDDL,SMDDR,SMDVL,SMDVR,VA01,VA02,VA03,VA04,VA05,VA06,VA07,VA08,VA09,VA10,VA11,VA12,VB01,VB02,VB03,VB04,VB05,VB06,VB07,VB08,VB09,VB10,VB11,DD01,DD02,DD03,DD04,DD05,DD06,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,MDL01,MDL02,MDL03,MDL04,MDL05,MDL06,MDL07,MDL08,MDL09,MDL10,MDL11,MDL12,MDL13,MDL14,MDL15,MDL16,MDL17,MDL18,MDL19,MDL20,MDL21,MDL22,MDL23,MDL24,MDR01,MDR02,MDR03,MDR04,MDR05,MDR06,MDR07,MDR08,MDR09,MDR10,MDR11,MDR12,MDR13,MDR14,MDR15,MDR16,MDR17,MDR18,MDR19,MDR20,MDR21,MDR22,MDR23,MDR24,MVL01,MVL02,MVL03,MVL04,MVL05,MVL06,MVL07,MVL08,MVL09,MVL10,MVL11,MVL12,MVL13,MVL14,MVL15,MVL16,MVL17,MVL18,MVL19,MVL20,MVL21,MVL22,MVL23,MVR01,MVR02,MVR03,MVR04,MVR05,MVR06,MVR07,MVR08,MVR09,MVR10,MVR11,MVR12,MVR13,MVR14,MVR15,MVR16,MVR17,MVR18,MVR19,MVR20,MVR21,MVR22,MVR23,MVR24
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.9540847457627118,0.9537619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.018181818181818184,0.03333333333333333,0.05,0.05,0.05000000000000001,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004761904761904762,0.015384615384615385,0.0,0.0,0.0,0.02,0.047058823529411764,0.04,0.05714285714285715,0.04,0.07500000000000001,0.08,0.07407407407407407,0.030434782608695653,0.07500000000000001,0.08571428571428573,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0025000000000000005,0.0,0.0,5.179823773718318E-4,4.1160128116649855E-4,0.9163677030195357,0.9144404556562208,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334E-4,0.0,0.0,0.0,0.0,0.0,0.09651580086580087,0.03723203463203464,0.06475653508450119,0.09749035393818545,0.09514616626311542,0.0951488566047888,0.1902977132095776,0.002090301003344482,2.621939464044728E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,3.076923076923077E-4,0.009807262808505045,0.030779515492558977,0.0,0.0,0.002857142857142858,0.04030768422006707,0.09172960167117694,0.07805165266106442,0.11073847572927477,0.07970742344395386,0.14321521388216304,0.1531750424915729,0.141410120543503,0.05855947553633627,0.14272328490718322,0.1631123256082094,0.02378452380952381,2.5000000000000006E-4,0.0,0.0,0.0014285714285714288,0.0,3.571428571428572E-4,1.470588235294118E-4,0.0,0.0,0.0,0.0,0.0010256410256410259,3.174603174603175E-4,0.0014285714285714288,0.027182312925170073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037500000000000006,0.0041666666666666675,0.0060606060606060615,0.0060606060606060615,0.011336580086580087,0.008353269537480064,0.018012820512820514,0.01377450980392157,0.021666666666666667,0.021666666666666667,0.021666666666666667,0.021666666666666667,0.03250000000000001,0.02166666666666667,0.04333333333333334,0.04333333333333334,0.04333333333333334,0.04333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.037500000000000006,0.0041666666666666675,0.0060606060606060615,0.0060606060606060615,0.011336580086580087,0.008353269537480064,0.018012820512820514,0.01377450980392157,0.021666666666666667,0.021666666666666667,0.021666666666666667,0.021666666666666667,0.03250000000000001,0.02166666666666667,0.04333333333333334,0.04333333333333334,0.04333333333333334,0.04333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.017794117647058825,0.008333333333333333,0.02184873949579832,0.013903743315508022,0.02595171428571429,0.02145895424836601,0.016923076923076923,0.03079309523809524,0.04256949590092447,0.03441391941391942,0.03850971551261406,0.03592119219811528,0.04390312500000001,0.048887933299432154,0.050175000000000004,0.050175000000000004,0.050175000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.017794117647058825,0.008333333333333333,0.02184873949579832,0.013903743315508022,0.02595171428571429,0.02145895424836601,0.016923076923076923,0.03079309523809524,0.04256949590092447,0.03441391941391942,0.03850971551261406,0.03592119219811528,0.04390312500000001,0.048887933299432154,0.050175000000000004,0.050175000000000004,0.050175000000000004,0.050175000000000004
3,0.0,0.007198290043290045,0.0,0.0,0.0015043117509646114,0.0011960833107384791,0.8859568691690738,0.8813435602961669,0.0,0.0,0.0,4.61439895106979E-5,3.718334634153322E-5,4.1160128116649856E-5,0.0024271875514530346,3.4346517109391E-5,5.0025219467094295E-5,5.179823773718318E-5,2.7440085411099903E-5,0.0,0.14005312211246074,0.057101848966940726,0.09464838689865196,0.14283530502111633,0.13608449581464876,0.13610842839840137,0.2721650585590656,0.005999321855608357,8.544236496968931E-4,1.1077341874443327E-4,3.931096826563988E-5,0.0,8.200000000000001E-5,0.0,3.5714285714285724E-5,4.0E-5,0.002371507368802683,3.884867830288738E-5,3.587811046523024E-5,4.470616465682763E-5,3.895080490825172E-5,4.24968414484295E-5,4.913871033204985E-5,9.336645570760288E-4,0.015126439676150493,0.04619545688474712,4.647918292691652E-5,4.2489891819216524E-5,0.00817594617711332,0.06100917114472214,0.13440384717027792,0.11441969849849237,0.16130981197564537,0.11921071879474593,0.20554921279218824,0.2204300337049565,0.20290809442073957,0.08470256168393184,0.2041760514443828,0.23332515223430111,0.03402667740438624,7.129404761904764E-4,1.666666666666667E-5,1.5873015873015876E-5,0.004073945578231293,0.0,0.0010258393357342938,4.3408263305322136E-4,9.803921568627455E-6,1.2500000000000004E-5,0.0,3.41880341880342E-5,0.0030253010328372652,9.550873618368443E-4,0.004073945578231293,0.03898189902638139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06066810064935065,0.009750159331409332,0.01514636844636845,0.01514636844636845,0.028173649509624088,0.02079548796055164,0.04339547505474474,0.03338380762548532,0.050980005380683355,0.05199582003988036,0.050980588288045914,0.050980005380683355,0.07647175679311272,0.05098117119540849,0.10196234239081697,0.10196234239081697,0.10196234239081697,0.10196234239081697,0.0,0.0,0.0,0.0,0.0,0.0,0.06066810064935065,0.009750159331409332,0.01514636844636845,0.01514636844636845,0.028173649509624088,0.02079548796055164,0.04339547505474474,0.03338380762548532,0.050980005380683355,0.05199582003988036,0.050980588288045914,0.050980005380683355,0.07647175679311272,0.05098117119540849,0.10196234239081697,0.10196234239081697,0.10196234239081697,0.10196234239081697,0.0,0.0,0.0,0.0,0.0,0.0,0.04196822812946442,0.019572646202805723,0.05182295731852063,0.03289536481072328,0.06223500326663242,0.05129372423264597,0.041391945421554444,0.07436685965528232,0.09961456011044699,0.08040757263361559,0.09165944939633405,0.08471456401250341,0.10176918372285487,0.1156287549510602,0.11797763854040558,0.11797763854040558,0.11797763854040558,0.0,0.0,0.0,0.0,0.0,0.0,0.04196822812946442,0.019572646202805723,0.05182295731852063,0.03289536481072328,0.06223500326663242,0.05129372423264597,0.041391945421554444,0.07436685965528232,0.09961456011044699,0.08040757263361559,0.09165944939633405,0.08471456401250341,0.10176918372285487,0.1156287549510602,0.11797763854040558,0.11797763854040558,0.11797763854040558,0.11797763854040558
4,1.965548413281994E-6,0.013838652692173901,0.0,0.0,0.002918905675194489,0.0023230002164948624,0.8620725354709702,0.8538629659788697,0.0,0.0,0.0,1.7789320065843603E-4,1.440797717122964E-4,1.5866929265654863E-4,0.004719200581937333,1.3321751871760623E-4,1.927679677002981E-4,1.99587702709048E-4,1.0577952843769908E-4,2.7440085411099905E-6,0.1810614512707734,0.07775919018222811,0.12334193954435983,0.18636340480363334,0.17338650143026962,0.17346306911486972,0.3467265505270304,0.011496764836163919,0.0018319169406106489,4.24805863214034E-4,1.5148648015673853E-4,5.100000000000001E-6,3.1664409561790827E-4,0.0,1.3647679071628654E-4,1.5653536844013416E-4,0.004695007338782632,1.506203606903243E-4,1.3836500481590852E-4,1.7230876267404843E-4,1.5051397922981408E-4,1.6415344924731388E-4,1.8935810019592316E-4,0.0018860908338056027,0.02071332901393827,0.061648515772977315,1.7912849768279832E-4,1.6378409391311103E-4,0.01561621688393981,0.08218246181324877,0.17543037337582865,0.14934584896371222,0.20932158306287035,0.15859450434173908,0.2628027765131493,0.2825681961080189,0.2593640037945745,0.10915562443618132,0.26024448833296737,0.29734972009100524,0.04337916714903005,0.0013582807266591535,6.38751322751323E-5,6.365119348866762E-5,0.007764364256379636,0.0,0.0019681840907230038,8.558803403253964E-4,3.865943043884221E-5,4.775462184873952E-5,2.695868945868947E-6,1.3328781220568663E-4,0.0059518474069519735,0.001915336318655632,0.007764364256379636,0.049933639801258145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08615077890581385,0.01571471386771038,0.025901465347685292,0.025901465347685292,0.047754474380506326,0.03530524368527797,0.07141610534272506,0.055290613763457466,0.08194548276614676,0.0853267680067413,0.08194281108349763,0.08194548276614676,0.12288069275948893,0.08194013940084847,0.1638212461181294,0.1638212461181294,0.1638212461181294,0.1638212461181294,0.0,0.0,0.0,0.0,0.0,0.0,0.08615077890581385,0.01571471386771038,0.025901465347685292,0.025901465347685292,0.047754474380506326,0.03530524368527797,0.07141610534272506,0.055290613763457466,0.08194548276614676,0.0853267680067413,0.08194281108349763,0.08194548276614676,0.12288069275948893,0.08194013940084847,0.1638212461181294,0.1638212461181294,0.1638212461181294,0.1638212461181294,0.0,0.0,0.0,0.0,0.0,0.0,0.06812241346422063,0.03198031466634711,0.08433525534629042,0.0534522630756227,0.10198580579599725,0.08393191815663503,0.06926684626084495,0.12270895415299946,0.15991798517556746,0.1288902484375437,0.14878301683738776,0.13673913896146048,0.16178496327499137,0.18670161129705587,0.19032964512635384,0.19032964512635384,0.19032964512635384,0.0,0.0,0.0,0.0,0.0,0.0,0.06812241346422063,0.03198031466634711,0.08433525534629042,0.0534522630756227,0.10198580579599725,0.08393191815663503,0.06926684626084495,0.12270895415299946,0.15991798517556746,0.1288902484375437,0.14878301683738776,0.13673913896146048,0.16178496327499137,0.18670161129705587,0.19032964512635384,0.19032964512635384,0.19032964512635384,0.19032964512635384
5,9.69462945204154E-6,0.0222044902173825,0.0,0.0,0.004729931127076717,0.0037690001974238978,0.8440339088397508,0.8314645635328449,0.0,0.0,0.0,4.292372702522301E-4,3.4942034623634984E-4,3.828771803805509E-4,0.007656429384376329,3.2340098788342193E-4,4.6489561122203804E-4,4.812992973903355E-4,2.553429205384043E-4,1.318201694928329E-5,0.21994102665821402,0.09918623461130875,0.15113074020575265,0.22837170053556693,0.20755832740439664,0.20772919848911792,0.4149770976808455,0.018388190371551115,0.0032395297072078445,0.0010192958683622392,3.6539432547857715E-4,2.4634627702230822E-5,7.652725941361782E-4,0.0,3.263348834620563E-4,3.8355743158881896E-4,0.007758656908228188,3.654586422275119E-4,3.339514872262616E-4,4.1568455271714575E-4,3.6404921260104644E-4,3.968565849376413E-4,4.5669376813788933E-4,0.003171480765869587,0.02656505702538363,0.07715919357272896,4.320882388854432E-4,3.9517994500677396E-4,0.02488631384032538,0.10389890585564585,0.2151206663475536,0.18305128761532585,0.2551874732311758,0.19794018069818614,0.3156862179082424,0.34030324563202013,0.3114825457810147,0.13217800681174996,0.31170963947191044,0.3560653456624434,0.051976901421292916,0.0021610569427450927,1.532912554226664E-4,1.593655551672838E-4,0.01236174565943009,0.0,0.003152956971944317,0.0014089547478093557,9.5338309569779E-5,1.1426705495202926E-4,1.3036054504966724E-5,3.250647719446536E-4,0.009762647167802768,0.003200664473783035,0.01236174565943009,0.0602505834787818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10914411961697378,0.021715265668610012,0.037729529950766574,0.037729529950766574,0.06880614611753949,0.05094993475182312,0.10005499948185052,0.07797553597650259,0.11214267633302223,0.11928303299640822,0.11212679434940305,0.11214267633302223,0.16804023717650798,0.11211091236578383,0.22396956198723214,0.22396956198723214,0.22396956198723214,0.22396956198723214,0.0,0.0,0.0,0.0,0.0,0.0,0.10914411961697378,0.021715265668610012,0.037729529950766574,0.037729529950766574,0.06880614611753949,0.05094993475182312,0.10005499948185052,0.07797553597650259,0.11214267633302223,0.11928303299640822,0.11212679434940305,0.11214267633302223,0.16804023717650798,0.11211091236578383,0.22396956198723214,0.22396956198723214,0.22396956198723214,0.22396956198723214,0.0,0.0,0.0,0.0,0.0,0.0,0.09464378843596606,0.045040865974935486,0.11721247638049243,0.07423974211831263,0.14229253802608688,0.11708586261905812,0.09874832017184935,0.1723518591529083,0.21921963055016597,0.17643292833407492,0.20531807853297765,0.18814584427081038,0.2195872204801291,0.2564909745423526,0.26218746949719224,0.26218746949719224,0.26218746949719224,0.0,0.0,0.0,0.0,0.0,0.0,0.09464378843596606,0.045040865974935486,0.11721247638049243,0.07423974211831263,0.14229253802608688,0.11708586261905812,0.09874832017184935,0.1723518591529083,0.21921963055016597,0.17643292833407492,0.20531807853297765,0.18814584427081038,0.2195872204801291,0.2564909745423526,0.26218746949719224,0.26218746949719224,0.26218746949719224,0.26218746949719224
6,2.8701651009027822E-5,0.03211372676076915,0.0,0.0,0.0069126949232058196,0.005516829223055955,0.8312473566798808,0.8136798525476916,0.0,0.0,0.0,8.297235592444838E-4,6.788663344028708E-4,7.402504639235325E-4,0.011194426739130084,6.289583815738257E-4,8.981635322631721E-4,9.297461459311001E-4,4.940265119841816E-4,3.804402613871027E-5,0.2570489764455219,0.12137730397949302,0.17827425980803416,0.2691294544481016,0.2390487645259585,0.23936371227606584,0.47779767840620063,0.026510306639379037,0.005113662235994999,0.001958728132816775,7.061289790412915E-4,7.147319292224747E-5,0.0014816651576200998,0.0,6.249875015999231E-4,7.531605793743101E-4,0.011557203692531609,7.103005946605713E-4,6.456642829237129E-4,8.034156912593883E-4,7.054523074981735E-4,7.686175348340294E-4,8.823722254292083E-4,0.0047952968906796525,0.03268171734742551,0.09275167405511885,8.349983049273164E-4,7.639374241744784E-4,0.03573722336971182,0.1262244643180958,0.2537536174440631,0.21573891796369077,0.2992764814197738,0.23732647498590811,0.3648302543185901,0.39427013232664204,0.35988823405743375,0.15400089854504662,0.35926046214844043,0.4102481712660162,0.059939271422044305,0.0031010833995059393,2.9485604941802606E-4,3.1893569831403746E-4,0.017756354978677336,0.0,0.004554759929073384,0.002091326803839862,1.8821527413407832E-4,2.1920164138859906E-4,3.785110235325797E-5,6.347771111358996E-4,0.014419533892824913,0.004813746572484586,0.017756354978677336,0.07011544711407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13150339576254938,0.027679985939763438,0.050378274256667924,0.050378274256667924,0.09076882666472529,0.06732359941738678,0.12852805427411307,0.10083855205723447,0.14072701242335878,0.15294836548794408,0.14068156880680244,0.14072701242335878,0.21062731254541658,0.14063612519024607,0.28061849990058707,0.28061849990058707,0.28061849990058707,0.28061849990058707,0.0,0.0,0.0,0.0,0.0,0.0,0.13150339576254938,0.027679985939763438,0.050378274256667924,0.050378274256667924,0.09076882666472529,0.06732359941738678,0.12852805427411307,0.10083855205723447,0.14072701242335878,0.15294836548794408,0.14068156880680244,0.14072701242335878,0.21062731254541658,0.14063612519024607,0.28061849990058707,0.28061849990058707,0.28061849990058707,0.28061849990058707,0.0,0.0,0.0,0.0,0.0,0.0,0.12101822325234213,0.05863983652020616,0.14970346863493114,0.09481957242149472,0.18201750861666227,0.14989630064815926,0.12908078537500717,0.22188470445009947,0.2761046813067952,0.22191881517314674,0.2595018347002083,0.23756833572025923,0.2738404335842596,0.3229190239094726,0.33180198871500133,0.33180198871500133,0.33180198871500133,0.0,0.0,0.0,0.0,0.0,0.0,0.12101822325234213,0.05863983652020616,0.14970346863493114,0.09481957242149472,0.18201750861666227,0.14989630064815926,0.12908078537500717,0.22188470445009947,0.2761046813067952,0.22191881517314674,0.2595018347002083,0.23756833572025923,0.2738404335842596,0.3229190239094726,0.33180198871500133,0.33180198871500133,0.33180198871500133,0.33180198871500133
7,6.611797540574435E-5,0.04341438535050694,0.0,0.0,0.00944870071515887,0.007554492037616618,0.8231960792341968,0.8000984289739367,0.0,0.0,0.0,0.0014053321113031612,0.001155631129092007,0.0012541806125690278,0.015296416545567739,0.00107179063380781,0.0015203622561025013,0.0015735985848091961,8.378879089480089E-4,8.550643200405421E-5,0.2927047180352898,0.1443370902858598,0.2050026235871522,0.3088814491909051,0.2682562992269767,0.2687713737946043,0.5359691490043995,0.03572688268925882,0.007483895530285738,0.003297079171605821,0.0011957887139838344,1.614578737238013E-4,0.002513521845215012,0.0,0.0010485891319256654,0.0012961832340989132,0.01609109469482862,0.0012094990419333905,0.0010937294049123067,0.0013606532699824174,0.001197866723886002,0.0013043393812993916,0.001493744091749154,0.006762462375723926,0.039066134946612374,0.1084532103355159,0.001413889598689112,0.001294107859099049,0.04795735263492745,0.14922079862267357,0.29157969362793373,0.2475953850650555,0.34191851407214646,0.2768299260924706,0.4107955991642866,0.44503451629596746,0.4051351994187899,0.17483092294520822,0.40350530039254073,0.4605838910340868,0.06737215144540967,0.004162275882204288,4.97188474141904E-4,5.581001087951521E-4,0.023862325586171795,0.0,0.0061532720968513815,0.0029023884226876337,3.2534480345551776E-4,3.687281870652609E-4,8.554589158858842E-5,0.0010855780150523498,0.019888741838336627,0.006757657843726707,0.023862325586171795,0.07968553048867752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1529647955353501,0.03364081592644226,0.06375197531142394,0.06375197531142394,0.11342377174108172,0.08427344323928945,0.1566064843876167,0.12369377065986029,0.1675347843157142,0.18604830375192766,0.16743733348947148,0.1675347843157142,0.2503446154726362,0.16733988266322872,0.3333493482820436,0.3333493482820436,0.3333493482820436,0.3333493482820436,0.0,0.0,0.0,0.0,0.0,0.0,0.1529647955353501,0.03364081592644226,0.06375197531142394,0.06375197531142394,0.11342377174108172,0.08427344323928945,0.1566064843876167,0.12369377065986029,0.1675347843157142,0.18604830375192766,0.16743733348947148,0.1675347843157142,0.2503446154726362,0.16733988266322872,0.3333493482820436,0.3333493482820436,0.3333493482820436,0.3333493482820436,0.0,0.0,0.0,0.0,0.0,0.0,0.14715729620793977,0.0727912478510475,0.18163998238364365,0.11511405275153366,0.2208101782656427,0.1821180756869228,0.15997282505519972,0.27081956067239976,0.33030205350275654,0.2651576650093107,0.3108359253478481,0.28468754550163355,0.32440950941914004,0.3854641837919861,0.398755993255461,0.398755993255461,0.398755993255461,0.0,0.0,0.0,0.0,0.0,0.0,0.14715729620793977,0.0727912478510475,0.18163998238364365,0.11511405275153366,0.2208101782656427,0.1821180756869228,0.15997282505519972,0.27081956067239976,0.33030205350275654,0.2651576650093107,0.3108359253478481,0.28468754550163355,0.32440950941914004,0.3854641837919861,0.398755993255461,0.398755993255461,0.398755993255461,0.398755993255461
8,1.306082880454332E-4,0.055980752624816096,0.0,0.0,0.012324849085748144,0.0098745474278945,0.8194310375465451,0.7903613728909838,0.0,0.0,0.0,0.002179219725730245,0.0018010116324580021,0.0019456666050896693,0.01993255874254503,0.0016721217601034031,0.0023561237079314564,0.002438215128499814,0.0013016386424995702,1.6493439486664835E-4,0.3271947089418117,0.16807916154265753,0.2315207349831066,0.3478509273539038,0.29553531527348503,0.2963113118908763,0.5901844086532527,0.04592520530016554,0.010374387140306533,0.00507970711471193,0.0018541377327406384,3.129571446622545E-4,0.0039037220408612823,0.0,0.0016104382958825945,0.00204270551758749,0.02136574534878988,0.0018853579226590029,0.0016961397080811512,0.0021098494462263844,0.0018622882352992076,0.002026471076435923,0.0023150779976472777,0.00907777775015142,0.045723657477317464,0.12429362295698196,0.0021919408667947417,0.0020072351705159373,0.06136795682085682,0.17294621092233228,0.32882461349281566,0.2787928950664741,0.38340931427925173,0.3165253191684098,0.4540814263194352,0.49310113016575713,0.44771582301559215,0.19485328636370577,0.4449819668258109,0.5076789486987711,0.0743696538478053,0.005332079507568349,7.679202577341245E-4,8.923793191400298E-4,0.030613900030144785,0.0,0.007932607881927694,0.003842779987278587,5.145357195606373E-4,5.683091110112496E-4,1.6584585835656909E-4,0.0016988746570018066,0.026140815960784266,0.009036029627097307,0.030613900030144785,0.08909688818362593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17389384828871793,0.03966539027918844,0.07782682022112575,0.07782682022112575,0.13671411785304638,0.10176712035884647,0.18430446255421867,0.14653777784197095,0.19268411499696741,0.21858393950849467,0.19250662472285712,0.19268411499696741,0.28732332168278785,0.1923291344487468,0.3823175089168288,0.3823175089168288,0.3823175089168288,0.3823175089168288,0.0,0.0,0.0,0.0,0.0,0.0,0.17389384828871793,0.03966539027918844,0.07782682022112575,0.07782682022112575,0.13671411785304638,0.10176712035884647,0.18430446255421867,0.14653777784197095,0.19268411499696741,0.21858393950849467,0.19250662472285712,0.19268411499696741,0.28732332168278785,0.1923291344487468,0.3823175089168288,0.3823175089168288,0.3823175089168288,0.3823175089168288,0.0,0.0,0.0,0.0,0.0,0.0,0.1731310524439536,0.08754778949823543,0.2130845613466599,0.13518459245496342,0.2586613992403313,0.2137638552703741,0.19133830249302664,0.31907589721259166,0.3819826333510767,0.30631475291299526,0.35937570798039986,0.3296111051129416,0.3716085432642088,0.4442655354102589,0.4631540272797885,0.4631540272797885,0.4631540272797885,0.0,0.0,0.0,0.0,0.0,0.0,0.1731310524439536,0.08754778949823543,0.2130845613466599,0.13518459245496342,0.2586613992403313,0.2137638552703741,0.19133830249302664,0.31907589721259166,0.3819826333510767,0.30631475291299526,0.35937570798039986,0.3296111051129416,0.3716085432642088,0.4442655354102589,0.4631540272797885,0.4631540272797885,0.4631540272797885,0.4631540272797885
9,2.3230200922526076E-4,0.0697100554169304,0.0,0.0,0.015532760600487082,0.012473518090602211,0.8195629859132192,0.7841554290095915,0.0,0.0,0.0,0.003172353191601953,0.00263484305820153,0.002833892351019546,0.025079295671708607,0.0024489129025955453,0.0034276079464375395,0.003546351065521138,0.0018990560467539472,2.866866049784063E-4,0.3607766291260945,0.19262470872641002,0.25801187146753024,0.3862422074660053,0.32120155182687027,0.32230273490513023,0.6410591187447393,0.0570130099296992,0.013805060712132403,0.007344970301215125,0.002699170767834553,5.465152774683667E-4,0.005691395369011764,0.0,0.0023215667309853514,0.003022462660863135,0.02739094376488109,0.0027585936408459546,0.002469140885303463,0.0030713785891867437,0.0027180793630652445,0.002955565601232442,0.00336823638689574,0.011746262398990796,0.05266197247662523,0.1403048929448379,0.0031901217082703423,0.002922949690332245,0.07581912580814512,0.1974564575937658,0.3656925888909813,0.30949085433741885,0.42401480748442677,0.35648607647451275,0.49513284163424376,0.5389211612146609,0.4880683427731954,0.2142345452256195,0.48416660284980056,0.5520703916406909,0.08101566955032749,0.006600985704388285,0.0011139742690655752,0.00133706546810546,0.03796227994696999,0.0,0.009880764830050926,0.004914289222966866,7.634233673819923E-4,8.229388611760235E-4,2.895896670808795E-4,0.0024946489720779614,0.033150505032483124,0.011653181925241176,0.03796227994696999,0.09846787221585891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1944311009269932,0.04583031255306298,0.09261268573473368,0.09261268573473368,0.16065881037830937,0.11982859785187727,0.2117366385662895,0.16944405307259264,0.2163986317861454,0.2506689237708019,0.2161080349345638,0.2163986317861454,0.3218584252209379,0.21581743808298218,0.42789941235889356,0.42789941235889356,0.42789941235889356,0.42789941235889356,0.0,0.0,0.0,0.0,0.0,0.0,0.1944311009269932,0.04583031255306298,0.09261268573473368,0.09261268573473368,0.16065881037830937,0.11982859785187727,0.2117366385662895,0.16944405307259264,0.2163986317861454,0.2506689237708019,0.2161080349345638,0.2163986317861454,0.3218584252209379,0.21581743808298218,0.42789941235889356,0.42789941235889356,0.42789941235889356,0.42789941235889356,0.0,0.0,0.0,0.0,0.0,0.0,0.19906283651810783,0.10297176247948768,0.24418393870990804,0.15514110357781577,0.2957030693701121,0.24494908871078766,0.2231810432430753,0.36674704712294787,0.4314720092904843,0.34567750544313275,0.40540336553296047,0.3726069082891231,0.41589531877642627,0.4997209751614407,0.5252900038041511,0.5252900038041511,0.5252900038041511,0.0,0.0,0.0,0.0,0.0,0.0,0.19906283651810783,0.10297176247948768,0.24418393870990804,0.15514110357781577,0.2957030693701121,0.24494908871078766,0.2231810432430753,0.36674704712294787,0.4314720092904843,0.34567750544313275,0.40540336553296047,0.3726069082891231,0.41589531877642627,0.4997209751614407,0.5252900038041511,0.5252900038041511,0.5252900038041511,0.5252900038041511
