bodySegment,position
MDL05,0.15
MDL05,0.15
MDR05,0.15
MDL08,0.16
MDR08,0.18
MDL08,0.16
MDR08,0.18
MDL07,0.21
MDR07,0.21
MDL10,0.25
MDR10,0.25
MDL09,0.29
MDR09,0.29
MDL12,0.33
MDR12,0.33
MDL11,0.38
MDR11,0.38
MDL11,0.38
MDR11,0.38
MDL14,0.42
MDR14,0.42
MDL14,0.42
MDR14,0.42
MDL13,0.47
MDR13,0.47
MDL13,0.47
MDR13,0.47
MDL16,0.51
MDR16,0.51
MDL15,0.55
MDR15,0.55
MDL18,0.6
MDR18,0.6
MDL20,0.68
MDR20,0.68
MDL17,0.64
MDR17,0.64
MDL20,0.68
MDR20,0.68
MDL19,0.72
MDR19,0.72
MDL22,0.79
MDR22,0.79
MDL21,0.8
MDR21,0.8
MVL12,0.29
MVL11,0.35
MVL14,0.39
MVR14,0.39
MVL10,0.22
MVL10,0.22
MVR10,0.22
MVL03,0.1
MVR04,0.08
MDL08,0.16
MDR08,0.18
MDL08,0.16
MDR08,0.18
MDL07,0.21
MDR07,0.21
MDL10,0.25
MDR10,0.25
MDL09,0.29
MDR09,0.29
MDL10,0.25
MDR10,0.25
MDL09,0.29
MDR09,0.29
MDL12,0.33
MDR12,0.33
MDL12,0.33
MDR12,0.33
MDL11,0.38
MDR11,0.38
MDL14,0.42
MDR14,0.42
MDL14,0.42
MDR14,0.42
MDL13,0.47
MDR13,0.47
MDL12,0.33
MDR12,0.33
MDL11,0.38
MDR11,0.38
MDL14,0.42
MDR14,0.42
MDL13,0.47
MDR13,0.47
MDL16,0.51
MDR16,0.51
MDL15,0.55
MDR15,0.55
MDL18,0.6
MDR18,0.6
MDL17,0.64
MDR17,0.64
MDL20,0.68
MDR20,0.68
MDL19,0.72
MDR19,0.72
MDL17,0.64
MDR17,0.64
MDL21,0.8
MDR21,0.8
MDL19,0.72
MDR19,0.72
MDL22,0.79
MDR22,0.79
MDL08,0.16
MDR08,0.18
MDL07,0.21
MDR07,0.21
MDL10,0.25
MDR10,0.25
MDL09,0.29
MDR09,0.29
MDL12,0.33
MDR12,0.33
MDL11,0.38
MDR11,0.38
MDL12,0.33
MDR12,0.33
MDL11,0.38
